,title,media,date,datetime,desc,link,img
0,Is Elon Musk the Dogecoin billionaire? Clues that online sleuths claim link SpaceX boss to $10billion...,The Sun,1 month ago,2021-05-02 11:30:54.171587,"Created as a cryptocurrency parody in 2013, Dogecoin is based on the 'Doge' meme, which portrays a Shiba Inu dog - and while it is currently enjoying a boom, ...",https://www.thesun.co.uk/money/14816058/elon-musk-dogecoin-billonaire-crypto/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
1,What Dogecoin's Resilence Means for Crypto Investors,InvestorPlace,1 month ago,2021-05-02 11:30:54.175922,"It was designed as a meme from the start, intended for humor and entertainment. To that extent, it has succeeded beyond anyone's wildest expectations. Dogecoin ...",https://investorplace.com/2021/04/what-dogecoin-resilence-means-for-crypto-investors/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2,Dogecoin (DOGE) price analysis: Eyes next upside break amid strong social activity - Morning Tick,Morning Tick,1 month ago,2021-05-02 11:30:54.179761,Dogecoin (DOGE) price analysis: Eyes next upside break amid strong social activity. DOGE price is likely to set up for the next bullish break. Staff Reporter By Staff ...,https://morningtick.com/news/dogecoin-doge-price-analysis-eyes-next-upside-break-amid-strong-social-activity/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3,Dogecoin Goes Mainstream But It’s Still Not Worth Your Time,InvestorPlace,1 month ago,2021-05-02 11:30:54.182968,"If you're just hearing about Dogecoin, here's a mini backstory: the cryptocurrency was created by two engineers as a satirical alternative to Bitcoin. But the coin, an ...",https://investorplace.com/2021/04/dogecoin-goes-mainstream-but-its-still-not-worth-your-time/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4,Dogecoin vs. Sundial Growers? How Warren Buffet Would Likely Weigh In,Nasdaq,1 month ago,2021-05-02 11:30:54.185942,"But what if Buffett had to choose between Dogecoin and Sundial? Which would he pick as his preferred investment alternative? Sure, this is a scenario that wouldn ...",https://www.nasdaq.com/articles/dogecoin-vs.-sundial-growers-how-warren-buffet-would-likely-weigh-in-2021-04-30,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
5,"INTC: Forget Dogecoin, Buy These 3 Tech Stocks Instead",StockNews,1 month ago,2021-05-02 11:30:54.188824,"INTC – Despite its history as a cryptocurrency that started as a meme and was built with the intention of mocking the concept of Bitcoin, Dogecoin has gained ...",https://stocknews.com/news/intc-hpq-fjtsy-forget-dogecoin-buy-these-3-tech-stocks-instead/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
6,Dogecoin: Is it a stable investment?,Deseret News,1 month ago,2021-05-02 11:30:54.191898,"“The overall financial stability picture is mixed, but on balance it's manageable,” he added. Per CoinDesk, this is a direct reference to the Dogecoin and ...",https://www.deseret.com/u-s-world/2021/4/30/22409494/dogecoin-stable-investment-price,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
7,VERIFY: What is Dogecoin? Here's what we know,WUSA9.com,1 month ago,2021-05-02 11:30:54.194770,"VERIFY: What is Dogecoin? Here's what we know. It started as a joke on the internet, now it's an actual investment. This video file cannot be played.(Error Code: ...",http://www.wusa9.com/article/news/verify/verify-how-did-an-internet-joke-become-an-investment/65-4f80d791-e1dc-4737-bb8a-013160940810,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
8,Dogecoin vs. Sundial Growers? How Warren Buffett Would Likely Weigh In,The Motley Fool,1 month ago,2021-05-02 11:30:54.197620,Dogecoin vs. Sundial Growers? How Warren Buffett Would Likely Weigh In · The billionaire investor would have to hold his nose if forced to choose between these ...,https://www.fool.com/investing/2021/04/30/dogecoin-vs-sundial-growers-how-warren-buffet-woul/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
9,Fed Chair Jerome Powell Says Dogecoin and Gamestop ...,Bitcoin News,1 month ago,2021-05-02 11:30:54.200450,The central bank's lead executive was asked about feverish stocks like Gamestop shares and the crypto asset dogecoin. Powell said that the Federal Reserve ...,https://news.bitcoin.com/fed-chair-jerome-powell-dogecoin-gamestop-froth-equity-markets/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
